effect,term,Study 1a,Study 2
fixed,Intercept," 3.76 [ 2.85; 4.67], p = <.001"," 2.13 [ 0.26; 4.01], p = 0.027"
fixed,Valence: pro-alcohol," 1.94 [ 1.72; 2.16], p = <.001"," 1.20 [ 1.04; 1.37], p = <.001"
fixed,Source: professional,"-0.08 [-0.30; 0.14], p = 0.467","-0.06 [-0.22; 0.11], p = 0.510"
fixed,Age,"-0.03 [-0.06; 0.00], p = 0.030","-0.01 [-0.10; 0.09], p = 0.913"
fixed,Gender: Male," 0.31 [ 0.04; 0.57], p = 0.022","-0.26 [-0.67; 0.15], p = 0.206"
fixed,ValencexSource," 0.06 [-0.25; 0.37], p = 0.700"," 0.13 [-0.10; 0.37], p = 0.267"
fixed,Gender: Non-Binary," 0.07 [-1.10; 1.23], p = 0.911",    
fixed,Binge Drinking Freq.,"-0.17 [-0.25;-0.09], p = <.001",    
fixed,Drinking Freq.,"-0.06 [-0.16; 0.03], p = 0.175",    
fixed,AUDIT,    ," 0.02 [-0.01; 0.06], p = 0.227"
ran_pars,pID Intercept, 0.94, 0.62
ran_pars,sID Intercept, 0.42, 0.22
ran_pars,Residual, 1.16, 1.08
