Study,Message Valence,Message Source,Craving,Positive Emotion,Negative Emotion,Familiarity Index
1a,anti-alcohol,professional,"M = 1.70, SD = 1.17","M = 1.80, SD = 1.37","M = 4.23, SD = 2.08","M = 2.16, SD = 1.40"
1b,anti-alcohol,professional,"M = 1.63, SD = 1.10","M = 1.69, SD = 1.23","M = 4.59, SD = 1.94","M = 2.62, SD = 1.48"
2,anti-alcohol,professional,"M = 2.09, SD = 1.20",NA,NA,NA
1a,anti-alcohol,social,"M = 1.70, SD = 1.26","M = 2.05, SD = 1.57","M = 3.76, SD = 2.11","M = 2.65, SD = 1.66"
1b,anti-alcohol,social,"M = 1.40, SD = 0.92","M = 1.51, SD = 1.18","M = 4.31, SD = 2.17","M = 2.46, SD = 1.58"
2,anti-alcohol,social,"M = 2.14, SD = 1.20",NA,NA,NA
1b,non-alcoholic,professional,"M = 1.79, SD = 1.47","M = 5.37, SD = 1.49","M = 1.14, SD = 0.56","M = 4.54, SD = 1.73"
1b,non-alcoholic,social,"M = 1.38, SD = 0.92","M = 5.03, SD = 1.73","M = 1.24, SD = 0.73","M = 4.67, SD = 1.77"
1a,pro-alcohol,professional,"M = 3.68, SD = 1.87","M = 4.14, SD = 1.76","M = 1.58, SD = 1.11","M = 3.59, SD = 1.82"
1b,pro-alcohol,professional,"M = 3.93, SD = 2.08","M = 4.01, SD = 1.93","M = 1.34, SD = 0.91","M = 4.03, SD = 1.68"
2,pro-alcohol,professional,"M = 3.44, SD = 1.29",NA,NA,NA
1a,pro-alcohol,social,"M = 3.67, SD = 1.90","M = 4.21, SD = 1.87","M = 1.67, SD = 1.28","M = 4.31, SD = 1.78"
1b,pro-alcohol,social,"M = 3.86, SD = 2.00","M = 4.27, SD = 1.86","M = 1.85, SD = 1.43","M = 4.65, SD = 1.74"
2,pro-alcohol,social,"M = 3.36, SD = 1.33",NA,NA,NA
