effect,term,"Estimate (95% CI), p-value"
fixed,Intercept,"2.1 [1.98, 2.21], p < .001"
fixed,Positive emotions (PosEmo),"0.32 [0.28, 0.36], p < .001"
fixed,Negative emotions (NegEmo),"-0.05 [-0.08, -0.01], p = 0.005"
fixed,Valence: pro-alcohol,"0.79 [0.67, 0.9], p < .001"
fixed,Source: professional,"0.05 [-0.04, 0.14], p = 0.27"
fixed,PosEmo x Valence,"0.22 [0.18, 0.27], p < .001"
fixed,NegEmo x Valence,"-0.09 [-0.14, -0.04], p < .001"
fixed,PosEmo x Source,"0.01 [-0.03, 0.05], p = 0.508"
fixed,NegEmo x Source,"-0.02 [-0.05, 0.02], p = 0.429"
random,pID Intercept,0.76
random,sID Intercept,0.22
random,Study intercept,0
random,Residual,0.98
