category,filename,hashtag,source,description,people,faces,females,alcohol_visible,words_on_image,proportion_females,labels
anti_prof,ap4.png,#DrinkResponsibly,,A man is sleeping on a bar counter. A funny face has been drawn on his bald head. A slogan reads: “Be the artist not the canvas”,1,0,0.0,0,6,0.0,Drink Responsibly
anti_prof,ap9.png,#ControlTonight,,A women is kneeling in front of a toilet bowl and resting her head in her hands. A slogan reads: “12:32 AM She’s got a date with a porcelain prince.”,1,1,1.0,0,0,1.0,Control Tonight
anti_prof,ap16.png,#DontPushIt,,Several empty or half empty glasses of red wine are visible. A slogan reads: “Who decides when you’ve got enough? You or your friends?”,0,0,0.0,0,10,NA,Don't Push It
anti_prof,ap17.png,#DontPushIt,,"A woman is hanging over a toilet bowl, possibly throwing up. A slogan reads: “She thought turning down a drink would make her look bad.”",1,0,1.0,0,11,1.0,Don't Push It
anti_prof,ap18.png,#DontPushIt,,A glass of alcohol is visible in the background. A slogan reads: “Looking after a mate doesn’t always mean buying them more drinks.”,0,0,0.0,0,11,NA,Don't Push It
anti_prof,ap19.png,#DontPushIt,,A man in a half opened button down shirt is sleeping standing up at a bus stop with a beer bottle in his hands. A slogan reads: “His mate bought the last round. But he’s paying for it.”,1,1,0.0,1,11,0.0,Don't Push It
anti_prof,ap23.png,#DrinkHeads,,"A man is standing bent over in a dark alley, possibly throwing up. His head is replaced by a glass he is “emptying” into the street. A slogan reads: “The more you binge drink, the more likely you are to be arrested.”",1,0,0.0,1,13,0.0,Drink Heads
anti_prof,ap24.png,#DrinkHeads,,Two man are fighting in a bar. One is lying on the ground. The other is grabbing his head and is about to punch the first man. A women is holding the arm of the second man to stop him from throwing the punch. The heads of all there characters are replaced by half full alcohol glasses. The glass of the man on the ground is broken from prior punches.,3,1,1.0,1,0,0.333333333,Drink Heads
anti_prof,ap28.png,#FuckOff,,The front and back sides of a coaster are shown. The front says: “Fuck off”. The back says: “If someone’s pressuring you to have another drink calmly slide this coaster over to them. It should do the trick.”,0,0,0.0,0,22,NA,Fuck Off
anti_prof,ap29.png,#AlcoholDignity,,A black and white rendering of a man in smart clothes is shown. He is leaning calmly against a bar counter and holding a beer bottle. A slogan says: “Dignity. Learn how to keep it.”,1,1,0.0,1,6,0.0,Alcohol Dignity
anti_prof,ap32.png,#TheOtherHangover,,"Four women and one man are shown, each holding an alcoholic beverage. The man puts his arm flirtatiously around one of the women. She looks disgusted at him and the other three women watch disapprovingly. A slogan says: “Before you got wasted, you weren’t known as ‘The Creep’”",5,5,4.0,1,10,0.8,The Other Hangover
