,category,filename,QualtricsURL,source,people,faces,females,alcohol_visible,words_on_pic,meme,exclude,problem_drinking,hashtag,prop_females,need_preprocessing,labels
1,non_pro_prof,npp5.png,https://uvacommscience.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_e4gV15E757tKcQe,https://www.instagram.com/p/BaY4zr3g6kH/,2,2,1,0,0,0,NA,0,#CocaCola,0.5,1,Coca Cola
2,non_pro_prof,npp16.png,https://uvacommscience.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_064iUghfAqXj9eS,https://www.instagram.com/p/BJAuFmMAcEC/,5,0,3,0,0,0,NA,0,#CocaCola,0.6,1,Coca Cola
3,non_pro_prof,npp17.png,https://uvacommscience.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bJwewzXqa0V2Ylg,https://www.instagram.com/p/BIubVTNgJXX/,2,2,2,0,0,0,NA,0,#CocaCola,1,1,Coca Cola
4,non_pro_prof,npp20.png,https://uvacommscience.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_81XokcgZg1pahWC,https://www.instagram.com/p/BGOuiSTLkgR/,6,1,1,0,6,0,NA,0,#CocaCola,0.166666666666667,1,Coca Cola
5,non_pro_prof,npp25.png,https://uvacommscience.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eE5zhkfECLY61bU,https://www.instagram.com/p/BASHwe1rkhW/,2,2,0,0,0,0,NA,0,#CocaCola,0,1,Coca Cola
6,non_pro_prof,npp29.png,https://uvacommscience.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eFZtlmwDD9b1rN4,https://www.instagram.com/p/CEjcpHvqMaL/,4,0,4,0,0,0,NA,0,#Lipton,1,1,Lipton
7,non_pro_prof,npp34.png,https://uvacommscience.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_efii8QXK9p2DsYm,https://www.instagram.com/p/Bz9_AJios4l/,2,2,2,0,7,0,NA,0,#Pickwick,1,1,Pickwick
8,non_pro_prof,npp41.png,https://uvacommscience.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_819jVTFYQ8XvkRU,https://www.instagram.com/p/CNr7pY5sxUr/,2,2,1,0,0,0,NA,0,#Volvic,0.5,1,Volvic
9,non_pro_prof,npp44.png,https://uvacommscience.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_do0WPaurqVt0SmW,https://www.instagram.com/p/CEUpnZRJMXI/,1,1,0,0,0,0,NA,0,#Volvic,0,1,Volvic
10,non_pro_prof,npp54.png,https://uvacommscience.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_elmz6FGuyCRezZA,https://www.instagram.com/p/BnwfogDhP0n/,1,1,1,0,0,0,NA,0,#Pepsi,1,1,Pepsi
