file,type,subtype,exemplar,context,sub.context,actor_sex,set,urge_mean,urge_sd,urge_n,valence_mean,valence_sd,valence_n,arousal_mean,arousal_sd,arousal_n,control_mean,control_sd,control_n,consumed_perc,consumed_n,know_perc,know_n,correct_perc,correct_n,rt_mean,rt_sd,urge_mean.female,urge_sd.female,urge_n.female,valence_mean.female,valence_sd.female,valence_n.female,arousal_mean.female,arousal_sd.female,arousal_n.female,control_mean.female,control_sd.female,control_n.female,consumed_perc.female,consumed_n.female,know_perc.female,know_n.female,correct_perc.female,correct_n.female,rt_mean.female,rt_sd.female,urge_mean.male,urge_sd.male,urge_n.male,valence_mean.male,valence_sd.male,valence_n.male,arousal_mean.male,arousal_sd.male,arousal_n.male,control_mean.male,control_sd.male,control_n.male,consumed_perc.male,consumed_n.male,know_perc.male,know_n.male,correct_perc.male,correct_n.male,rt_mean.male,rt_sd.male,urge_mean.high,urge_sd.high,urge_n.high,valence_mean.high,valence_sd.high,valence_n.high,arousal_mean.high,arousal_sd.high,arousal_n.high,control_mean.high,control_sd.high,control_n.high,consumed_perc.high,consumed_n.high,know_perc.high,know_n.high,correct_perc.high,correct_n.high,rt_mean.high,rt_sd.high,urge_mean.low,urge_sd.low,urge_n.low,valence_mean.low,valence_sd.low,valence_n.low,arousal_mean.low,arousal_sd.low,arousal_n.low,control_mean.low,control_sd.low,control_n.low,consumed_perc.low,consumed_n.low,know_perc.low,know_n.low,correct_perc.low,correct_n.low,rt_mean.low,rt_sd.low,urge_mean.high.female,urge_sd.high.female,urge_n.high.female,valence_mean.high.female,valence_sd.high.female,valence_n.high.female,arousal_mean.high.female,arousal_sd.high.female,arousal_n.high.female,control_mean.high.female,control_sd.high.female,control_n.high.female,consumed_perc.high.female,consumed_n.high.female,know_perc.high.female,know_n.high.female,correct_perc.high.female,correct_n.high.female,rt_mean.high.female,rt_sd.high.female,urge_mean.low.female,urge_sd.low.female,urge_n.low.female,valence_mean.low.female,valence_sd.low.female,valence_n.low.female,arousal_mean.low.female,arousal_sd.low.female,arousal_n.low.female,control_mean.low.female,control_sd.low.female,control_n.low.female,consumed_perc.low.female,consumed_n.low.female,know_perc.low.female,know_n.low.female,correct_perc.low.female,correct_n.low.female,rt_mean.low.female,rt_sd.low.female,urge_mean.high.male,urge_sd.high.male,urge_n.high.male,valence_mean.high.male,valence_sd.high.male,valence_n.high.male,arousal_mean.high.male,arousal_sd.high.male,arousal_n.high.male,control_mean.high.male,control_sd.high.male,control_n.high.male,consumed_perc.high.male,consumed_n.high.male,know_perc.high.male,know_n.high.male,correct_perc.high.male,correct_n.high.male,rt_mean.high.male,rt_sd.high.male,urge_mean.low.male,urge_sd.low.male,urge_n.low.male,valence_mean.low.male,valence_sd.low.male,valence_n.low.male,arousal_mean.low.male,arousal_sd.low.male,arousal_n.low.male,control_mean.low.male,control_sd.low.male,control_n.low.male,consumed_perc.low.male,consumed_n.low.male,know_perc.low.male,know_n.low.male,correct_perc.low.male,correct_n.low.male,rt_mean.low.male,rt_sd.low.male,choose
SDC11022,alcohol,alcopops,bacardi_rum,passive,bottle,NA,core,-0.210526316,2.749914558,57,1.649122807,1.726797491,57,-1.350877193,2.167052212,57,-1.912280702,2.081214461,57,0.824561404,57,0.98245614,57,0.964912281,57,727,329.2374467,-0.454545455,2.723323427,44,1.590909091,1.559937116,44,-1.386363636,2.093355036,44,-1.840909091,2.045337088,44,0.795454545,44,0.977272727,44,0.954545455,44,753.8333333,365.6344914,0.615384615,2.785033259,13,1.846153846,2.267382994,13,-1.230769231,2.488434788,13,-2.153846154,2.267382994,13,0.923076923,13,1,13,1,13,640.3076923,142.6764315,0.666666667,2.660248687,27,2,1.687054785,27,-0.851851852,2.413164276,27,-1.703703704,2.180592982,27,0.962962963,27,1,27,0.962962963,27,668.8846154,240.2883812,-1,2.626128657,30,1.333333333,1.728729518,30,-1.8,1.845778034,30,-2.1,2.006025406,30,0.7,30,0.966666667,30,0.966666667,30,779.1034483,389.2965584,0.25,2.712058841,20,1.95,1.468081455,20,-0.8,2.214782869,20,-1.6,2.062190966,20,0.95,20,1,20,0.95,20,655.6315789,268.3095663,-1.041666667,2.64540893,24,1.291666667,1.601063958,24,-1.875,1.895360468,24,-2.041666667,2.053187695,24,0.666666667,24,0.958333333,24,0.958333333,24,834.9565217,418.3746123,1.857142857,2.267786838,7,2.142857143,2.340126167,7,-1,3.109126351,7,-2,2.645751311,7,1,7,1,7,1,7,704.8571429,150.1370802,-0.833333333,2.786873995,6,1.5,2.34520788,6,-1.5,1.760681686,6,-2.333333333,1.966384161,6,0.833333333,6,1,6,1,6,565,95.74758483,1
SDC11144,alcohol,alcopops,mojito,passive,bottle_full_glass,NA,core,-0.625,2.431329603,56,1.125,2.264849985,56,-1.357142857,2.346591892,56,-1.428571429,2.334384426,56,0.857142857,56,0.982142857,56,1,56,650.4821429,223.9337557,-0.447368421,2.423949964,38,1.394736842,2.199993534,38,-1.157894737,2.099244598,38,-1.157894737,2.175121193,38,0.842105263,38,0.973684211,38,1,38,633.5,198.8384853,-1,2.47338777,18,0.555555556,2.357022604,18,-1.777777778,2.819168746,18,-2,2.612188625,18,0.888888889,18,1,18,1,18,686.3333333,272.3637274,-0.535714286,2.395708244,28,0.75,2.428610333,28,-0.964285714,2.317120545,28,-1.107142857,2.266328173,28,0.892857143,28,1,28,1,28,628.6785714,230.128797,-0.714285714,2.507132682,28,1.5,2.063797291,28,-1.75,2.351122663,28,-1.75,2.397915762,28,0.821428571,28,0.964285714,28,1,28,672.2857143,219.5555877,0.125,2.334523506,16,1.125,2.247220505,16,-0.4375,1.787689384,16,-1.0625,1.842778699,16,0.875,16,1,16,1,16,598.5,178.9618209,-0.863636364,2.455226777,22,1.590909091,2.196514358,22,-1.681818182,2.190593823,22,-1.227272727,2.42863509,22,0.818181818,22,0.954545455,22,1,22,658.9545455,212.5351461,-1.416666667,2.274696117,12,0.25,2.667140109,12,-1.666666667,2.806917861,12,-1.166666667,2.823065173,12,0.916666667,12,1,12,1,12,668.9166667,288.4896275,-0.166666667,2.857738033,6,1.166666667,1.602081979,6,-2,3.098386677,6,-3.666666667,0.816496581,6,0.833333333,6,1,6,1,6,721.1666667,258.721794,1
SDC11028,alcohol,alcopops,bacardi_rum,passive,bottle_full_glass,NA,core,-0.719298246,2.418340532,57,1.245614035,1.672046455,57,-1.228070175,2.195917835,57,-1.561403509,2.129868741,57,0.929824561,57,0.98245614,57,0.929824561,57,678.1132075,246.4229994,-0.931818182,2.462724217,44,1.204545455,1.607823105,44,-1.272727273,2.149782427,44,-1.386363636,2.071017154,44,0.931818182,44,0.977272727,44,0.909090909,44,668.2,226.7075604,0,2.198484326,13,1.384615385,1.938146087,13,-1.076923077,2.431101892,13,-2.153846154,2.303842943,13,0.923076923,13,1,13,1,13,708.6153846,307.8393895,-0.259259259,2.363058523,27,1.222222222,1.804552647,27,-0.62962963,2.168802366,27,-0.925925926,2.234793501,27,1,27,1,27,0.962962963,27,621.9615385,228.2112146,-1.133333333,2.431592827,30,1.266666667,1.574217558,30,-1.766666667,2.112088904,30,-2.133333333,1.888866351,30,0.866666667,30,0.966666667,30,0.9,30,732.1851852,255.3078138,-0.35,2.390221307,20,1.25,1.860248993,20,-0.5,2.039091645,20,-0.75,2.124419425,20,1,20,1,20,0.95,20,583.5789474,118.6588554,-1.416666667,2.465706825,24,1.166666667,1.403928236,24,-1.916666667,2.062431378,24,-1.916666667,1.909169331,24,0.875,24,0.958333333,24,0.875,24,744.7619048,273.1179058,0,2.449489743,7,1.142857143,1.772810521,7,-1,2.645751311,7,-1.428571429,2.6367368,7,1,7,1,7,1,7,726.1428571,396.7792957,0,2.097617696,6,1.666666667,2.250925735,6,-1.166666667,2.401388487,6,-3,1.673320053,6,0.833333333,6,1,6,1,6,688.1666667,193.8653313,1
SDC11140,alcohol,alcopops,mojito,passive,bottle,NA,core,-0.75,2.421494655,56,1.071428571,2.181385238,56,-1.017857143,2.445709203,56,-1.678571429,2.166749915,56,0.857142857,56,0.982142857,56,0.964285714,56,577.9444444,122.7887305,-0.789473684,2.429079402,38,1.315789474,2.23129175,38,-0.947368421,2.35896643,38,-1.552631579,2.189623791,38,0.842105263,38,0.973684211,38,0.973684211,38,587.0810811,110.7565845,-0.666666667,2.47338777,18,0.555555556,2.035630332,18,-1.166666667,2.684377461,18,-1.944444444,2.154945672,18,0.888888889,18,1,18,0.944444444,18,558.0588235,147.4069497,-0.678571429,2.245218317,28,0.25,2.101586702,28,-1.142857143,1.918994446,28,-1.464285714,2.027261295,28,0.821428571,28,1,28,1,28,569.0357143,125.8613235,-0.821428571,2.625425136,28,1.892857143,1.969005873,28,-0.892857143,2.910253721,28,-1.892857143,2.314835979,28,0.892857143,28,0.964285714,28,0.928571429,28,587.5384615,121.1215029,-0.375,2.247220505,16,0.4375,2.279437065,16,-0.6875,1.887458609,16,-1.5,1.932183566,16,0.8125,16,1,16,1,16,569.1875,104.0046273,-1.090909091,2.561790499,22,1.954545455,2.011331535,22,-1.136363636,2.677871481,22,-1.590909091,2.403550764,22,0.863636364,22,0.954545455,22,0.954545455,22,600.7142857,116.2609749,-1.083333333,2.274696117,12,0,1.906925178,12,-1.75,1.864744682,12,-1.416666667,2.234373344,12,0.833333333,12,1,12,1,12,568.8333333,155.3452655,0.166666667,2.857738033,6,1.666666667,1.966384161,6,0,3.794733192,6,-3,1.673320053,6,1,6,1,6,0.833333333,6,532.2,139.1678842,1
SDC11142,alcohol,alcopops,mojito,passive,bottle_empty_glass,NA,core,-0.767857143,2.493563142,56,0.892857143,2.050973795,56,-0.964285714,2.507909566,56,-1.517857143,2.396900054,56,0.821428571,56,0.910714286,56,0.910714286,56,630.8823529,238.2522736,-0.842105263,2.656214699,38,1,2.066463227,38,-0.973684211,2.432736665,38,-1.394736842,2.284370795,38,0.815789474,38,0.894736842,38,0.921052632,38,636.8857143,217.7014647,-0.611111111,2.173067468,18,0.666666667,2.057983022,18,-0.944444444,2.732639797,18,-1.777777778,2.669116522,18,0.833333333,18,0.944444444,18,0.888888889,18,617.75,285.5162576,-1.107142857,2.439479084,28,0.428571429,2.332199271,28,-0.607142857,2.484608706,28,-1.321428571,2.597057757,28,0.821428571,28,0.928571429,28,0.857142857,28,579.9583333,213.935683,-0.428571429,2.544836041,28,1.357142857,1.63784605,28,-1.321428571,2.524745259,28,-1.714285714,2.20868895,28,0.821428571,28,0.892857143,28,0.964285714,28,676.1481481,253.2839246,-1.125,2.655183609,16,0.375,2.446085308,16,-0.5,2.394437999,16,-1.1875,2.344319375,16,0.75,16,0.875,16,0.875,16,549,77.59559861,-0.636363636,2.700008017,22,1.454545455,1.654064913,22,-1.318181818,2.456989324,22,-1.545454545,2.283007055,22,0.863636364,22,0.909090909,22,0.954545455,22,695.4761905,260.0860663,-1.083333333,2.234373344,12,0.5,2.276360732,12,-0.75,2.701009912,12,-1.5,3,12,0.916666667,12,1,12,0.833333333,12,623.3,323.5562977,0.333333333,1.861898673,6,1,1.673320053,6,-1.333333333,3.011090611,6,-2.333333333,1.966384161,6,0.666666667,6,0.833333333,6,1,6,608.5,236.5474582,1
SDC11015,alcohol,alcopops,smirnoff_ice,passive,bottle_full_glass,NA,core,-1.084507042,2.346708813,71,1.028169014,2.378305705,71,-2.112676056,2.032235193,71,-1.985915493,2.19410221,71,0.985915493,71,0.985915493,71,0.943661972,71,657.9701493,230.436606,-1.208333333,2.387541541,48,1.270833333,2.429776133,48,-2.541666667,1.761990332,48,-2.229166667,2.065312128,48,0.979166667,48,0.979166667,48,0.916666667,48,643.7045455,213.02632,-0.826086957,2.289346352,23,0.52173913,2.23341494,23,-1.217391304,2.295381167,23,-1.47826087,2.40963153,23,1,23,1,23,1,23,685.2608696,263.4762741,-0.861111111,2.257087602,36,0.361111111,2.257087602,36,-2.138888889,1.869343319,36,-1.75,2.334523506,36,1,36,1,36,0.944444444,36,689.8529412,211.9557033,-1.314285714,2.446743677,35,1.714285714,2.333533405,35,-2.085714286,2.214543222,35,-2.228571429,2.044874716,35,0.971428571,35,0.971428571,35,0.942857143,35,625.1212121,246.9795991,-1.25,2.323790008,16,0.4375,2.279437065,16,-3,1.211060142,16,-2.125,2.187083294,16,1,16,1,16,0.875,16,668.1428571,174.2844082,-1.1875,2.455244551,32,1.6875,2.428825549,32,-2.3125,1.958233239,32,-2.28125,2.035719339,32,0.96875,32,0.96875,32,0.9375,32,632.3,230.7566489,-0.55,2.211810404,20,0.3,2.29645035,20,-1.45,2.038446261,20,-1.45,2.459674775,20,1,20,1,20,1,20,705.05,238.0224392,-2.666666667,2.309401077,3,2,1,3,0.333333333,3.785938897,3,-1.666666667,2.516611478,3,1,3,1,3,1,3,553.3333333,442.0116891,1
SDC11009,alcohol,alcopops,smirnoff_ice,passive,bottle,NA,core,-1.098591549,2.558766051,71,1.112676056,2.429281468,71,-1.985915493,2.200603539,71,-2.028169014,2.408151816,71,0.957746479,71,0.971830986,71,0.957746479,71,645.5882353,261.0037019,-1.291666667,2.576145342,48,1.4375,2.474605062,48,-2.375,2.006637921,48,-2.3125,2.204021952,48,0.958333333,48,0.979166667,48,0.958333333,48,640.6956522,217.1653614,-0.695652174,2.530447007,23,0.434782609,2.232529893,23,-1.173913043,2.405527232,23,-1.434782609,2.744019728,23,0.956521739,23,0.956521739,23,0.956521739,23,655.8181818,340.7692469,-0.833333333,2.546706557,36,0.444444444,2.407659734,36,-1.444444444,2.395763457,36,-1.805555556,2.459029361,36,0.944444444,36,0.972222222,36,0.944444444,36,680.1470588,322.0969299,-1.371428571,2.579166695,35,1.8,2.285504192,35,-2.542857143,1.852547644,35,-2.257142857,2.368206782,35,0.971428571,35,0.971428571,35,0.971428571,35,611.0294118,179.1724217,-1.5,2.556038602,16,0.5625,2.5811819,16,-1.9375,2.489143092,16,-1.9375,2.434988022,16,0.9375,16,1,16,0.9375,16,679.2666667,276.9389996,-1.1875,2.620483826,32,1.875,2.338320324,32,-2.59375,1.720078299,32,-2.5,2.094539752,32,0.96875,32,0.96875,32,0.96875,32,622.0322581,183.9736365,-0.3,2.473012227,20,0.35,2.323223713,20,-1.05,2.305028827,20,-1.7,2.536055786,20,0.95,20,0.95,20,0.95,20,680.8421053,361.3153844,-3.333333333,0.577350269,3,1,1.732050808,3,-2,3.464101615,3,0.333333333,4.041451884,3,1,3,1,3,1,3,497.3333333,27.09858545,1
SDC11010,alcohol,alcopops,smirnoff_ice,passive,bottle_empty_glass,NA,core,-1.225352113,2.575695097,71,1.014084507,2.375427527,71,-2.183098592,2.192909738,71,-1.957746479,2.32032399,71,0.971830986,71,0.985915493,71,0.971830986,71,647.8550725,326.6918982,-1.5625,2.542458602,48,1.270833333,2.394493535,48,-2.458333333,2.113365103,48,-2.208333333,2.221350302,48,0.958333333,48,0.979166667,48,0.979166667,48,661.1914894,389.0429527,-0.52173913,2.556090147,23,0.47826087,2.293658555,23,-1.608695652,2.291072207,23,-1.434782609,2.483144761,23,1,23,1,23,0.956521739,23,619.3636364,113.1697189,-0.944444444,2.596089856,36,0.388888889,2.405681107,36,-1.805555556,2.122255464,36,-1.527777778,2.431767272,36,0.972222222,36,1,36,0.944444444,36,696.0294118,436.5139093,-1.514285714,2.559543026,35,1.657142857,2.195488116,35,-2.571428571,2.226652913,35,-2.4,2.144761059,35,0.971428571,35,0.971428571,35,1,35,601.0571429,154.7249824,-1.875,2.418677324,16,0.5625,2.528998484,16,-2.0625,2.205107707,16,-1.6875,2.468974146,16,0.9375,16,1,16,0.9375,16,770.6666667,651.0172992,-1.40625,2.625671957,32,1.625,2.282471778,32,-2.65625,2.073012068,32,-2.46875,2.078839239,32,0.96875,32,0.96875,32,1,32,609.875,157.0631166,-0.2,2.546411303,20,0.25,2.359192547,20,-1.6,2.087557122,20,-1.4,2.458069418,20,1,20,1,20,0.95,20,637.1052632,106.6942125,-2.666666667,1.527525232,3,2,1,3,-1.666666667,4.041451884,3,-1.666666667,3.214550254,3,1,3,1,3,1,3,507,100.4788535,1
SDC11012,alcohol,alcopops,bacardi_breezer_lime,passive,bottle,NA,core,-1.243589744,2.574530079,78,0.538461538,2.399633672,78,-1.576923077,2.195149498,78,-1.935897436,2.235137019,78,0.884615385,78,0.948717949,78,1,78,582.5769231,148.0227711,-1.075471698,2.651915538,53,0.773584906,2.382964455,53,-1.716981132,2.195952207,53,-1.981132075,2.265888907,53,0.867924528,53,0.943396226,53,1,53,595,170.4082203,-1.6,2.415229458,25,0.04,2.406241883,25,-1.28,2.20831761,25,-1.84,2.211334439,25,0.92,25,0.96,25,1,25,556.24,79.47236417,-0.909090909,2.559234822,44,0.522727273,2.367302816,44,-0.931818182,2.160940012,44,-1.659090909,2.251027484,44,0.954545455,44,0.954545455,44,1,44,587.2954545,145.2690494,-1.676470588,2.566929403,34,0.558823529,2.476448783,34,-2.411764706,1.971273194,34,-2.294117647,2.195441721,34,0.794117647,34,0.941176471,34,1,34,576.4705882,153.4893611,-0.692307692,2.649818571,26,0.730769231,2.42582262,26,-0.884615385,2.214983938,26,-1.769230769,2.337651682,26,0.961538462,26,0.961538462,26,1,26,595.7307692,178.0908886,-1.444444444,2.65059258,27,0.814814815,2.386452743,27,-2.518518519,1.88863749,27,-2.185185185,2.219442706,27,0.777777778,27,0.925925926,27,1,27,594.2962963,166.0733885,-1.222222222,2.462795054,18,0.222222222,2.315054454,18,-1,2.142016642,18,-1.5,2.176073096,18,0.944444444,18,0.944444444,18,1,18,575.1111111,80.44061667,-2.571428571,2.149196971,7,-0.428571429,2.760262237,7,-2,2.380476143,7,-2.714285714,2.214669706,7,0.857142857,7,1,7,1,7,507.7142857,55.80535902,1
SDC11002,alcohol,alcopops,bacardi_breezer_cranberry,passive,bottle_empty_glass,NA,core,-1.310344828,2.310972276,58,0.448275862,2.392769912,58,-1.948275862,1.941444694,58,-1.327586207,2.73629235,58,0.844827586,58,1,58,0.931034483,58,675.6851852,240.1039731,-1.380952381,2.315929787,42,0.523809524,2.350278606,42,-1.571428571,1.939862418,42,-1.071428571,2.681398044,42,0.857142857,42,1,42,0.976190476,42,653.6341463,209.5974423,-1.125,2.362907813,16,0.25,2.569046516,16,-2.9375,1.611159003,16,-2,2.851899951,16,0.8125,16,1,16,0.8125,16,745.2307692,318.2491565,-1.441176471,2.427009339,34,-0.058823529,2.38608563,34,-1.911764706,1.912758551,34,-1.058823529,2.80628274,34,0.882352941,34,1,34,0.882352941,34,653.4666667,238.870147,-1.125,2.173206407,24,1.166666667,2.25863881,24,-2,2.02162225,24,-1.708333333,2.64540893,24,0.791666667,24,1,24,1,24,703.4583333,243.8294092,-1.8,2.397366977,20,-0.3,2.12998641,20,-1.3,1.866604009,20,-0.5,2.585384019,20,0.9,20,1,20,0.95,20,600,138.3132516,-1,2.225394561,22,1.272727273,2.333642527,22,-1.818181818,2.015094554,22,-1.590909091,2.719577889,22,0.818181818,22,1,22,1,22,699.9545455,249.8604329,-0.928571429,2.464026902,14,0.285714286,2.757606862,14,-2.785714286,1.672334684,14,-1.857142857,3.009143575,14,0.857142857,14,1,14,0.785714286,14,745.8181818,340.9145987,-2.5,0.707106781,2,0,0,2,-4,0,2,-3,1.414213562,2,0.5,2,1,2,1,2,742,230.5168107,1
