StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,icf,age,insta,alcohol,drunk,gender,gender_4_TEXT,AUDIT1,AUDIT2,AUDIT3,AUDIT4,AUDIT5,AUDIT6,AUDIT7,AUDIT8,AUDIT9,AUDIT10,diet,meat_1,meat_2,meat_3,meat_4,meat_5,meat_6,meat_7,meat_8,meat_9,meat_10,meat_11,meat_12,meat_13,meat_14,meat_15,meat_16,pID
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,"Informed Consent to Participate



After reading the information above, do you wish to voluntarily participate in this research study? Please choose an option below.",What is your age? (in years),Do you have an Instagram account?,Have you ever consumed alcoholic beverages in you life?,Have you ever been drunk or tipsy in your life?,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,"During the last 12 months how often have you had a drink containing alcohol?



By one drink we mean a small glass or bottle of beer, a small glass of wine or prosecco, a shot glass of liquor or spirits.","During the last 12 months, how many drinks containing alcohol did you have on a typical day when you were drinking?
 

By one drink we mean a small glass or bottle of beer, a small glass of wine or prosecco, a shot glass of liquor or spirits.","During the last 12 months, how often did you have six or more drinks on one occasion?
 

By one drink we mean a small glass or bottle of beer, a small glass of wine or prosecco, a shot glass of liquor or spirits.","During the last 12 months, how often have you found that you were not able to stop drinking once you had started?","During the last 12 months, how often have you failed to do what was normally expected from you because of drinking?","During the last 12 months, how often have you needed a first drink in the morning to get yourself going after a heavy drinking session?","During the last 12 months, how often have you had a feeling of guilt or remorse after drinking?","During the last 12 months, how often have you been unable to remember what happened the night before because you had been drinking?",Have you or someone else been inured as a result of your drinking?,Has a relative or friend or a doctor or another health care worker been concerned about your drinking or suggested you cut down?,"Which of the following categories best describe your current diet?
OmnivorousConsume animal products, except those excluded for taste preference, medical (e.g., allergy, intolerance), and/or religious reasons.
Semi- or partial vegetarian	Consume some, but not all, of the following: red meat (beef, veal, etc.), pork, poultry, fish, and/or seafood. Consume eggs and dairy products.
Vegetarian	Never consume red meat (beef, veal, etc.), pork, poultry, fish, or seafood, but may consume eggs and/or dairy products.
Strict vegetarian or dietary vegan	Never consume any animal products, including red meat (beef, veal, etc.), pork, poultry, fish, seafood, eggs, dairy products, or other animal products (e.g., gelatin, casein, etc.).
Lifestyle vegan	Never consume any animal products, and avoid some or all non-food animal products (e.g., leather, silk, cosmetics containing animal ingredients, etc.) and/or products tested on animals.","Below is a series of statements on meat consumption.
Do you agree or disagree with these statements? - It is only natural to eat meat.","Below is a series of statements on meat consumption.
Do you agree or disagree with these statements? - It is unnatural to eat an all plant-based diet.","Below is a series of statements on meat consumption.
Do you agree or disagree with these statements? - Our human ancestors ate meat all the time.","Below is a series of statements on meat consumption.
Do you agree or disagree with these statements? - Human beings naturally crave meat.","Below is a series of statements on meat consumption.
Do you agree or disagree with these statements? - It is necessary to eat meat in order to be healthy.","Below is a series of statements on meat consumption.
Do you agree or disagree with these statements? - You cannot get all the protein, vitamins, and mineral you need on an all plant-based diet.","Below is a series of statements on meat consumption.
Do you agree or disagree with these statements? - Human beings need to eat meat.","Below is a series of statements on meat consumption.
Do you agree or disagree with these statements? - A healthy diet requires at least some meat.","Below is a series of statements on meat consumption.
Do you agree or disagree with these statements? - Not eating meat is socially unacceptable.","Below is a series of statements on meat consumption.
Do you agree or disagree with these statements? - It is abnormal for humans not to eat meat.","Below is a series of statements on meat consumption.
Do you agree or disagree with these statements? - Most people I know eat meat.","Below is a series of statements on meat consumption.
Do you agree or disagree with these statements? - It is normal to eat meat.","Below is a series of statements on meat consumption.
Do you agree or disagree with these statements? - Meat is delicious.","Below is a series of statements on meat consumption.
Do you agree or disagree with these statements? - Meat adds so much flavor to a meal it does not make sense to leave it out.","Below is a series of statements on meat consumption.
Do you agree or disagree with these statements? - The best tasting food is normally a meat based dish (e.g., steak, chicken breast, grilled fish).","Below is a series of statements on meat consumption.
Do you agree or disagree with these statements? - Meals without meat would just be bland and boring.",pID
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID22""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID3_7""}","{""ImportId"":""QID3_8""}","{""ImportId"":""QID3_9""}","{""ImportId"":""QID3_10""}","{""ImportId"":""QID3_11""}","{""ImportId"":""QID3_12""}","{""ImportId"":""QID3_13""}","{""ImportId"":""QID3_14""}","{""ImportId"":""QID3_15""}","{""ImportId"":""QID3_16""}","{""ImportId"":""QID3_17""}","{""ImportId"":""QID3_18""}","{""ImportId"":""pID""}"
2020-11-13 14:42:06,2020-11-13 14:47:32,0,100,325,1,2020-11-13 14:47:32,R_OPtcJLyB5GjWKfT,,,,,anonymous,EN,1,20,1,1,3,2,,1,1,1,0,0,0,1,0,0,0,1,16,15,21,15,15,16,15,16,17,16,19,18,16,15,15,15,434969
2020-11-13 14:46:51,2020-11-13 14:53:38,0,100,407,1,2020-11-13 14:53:39,R_1kLjeObMTpu3QIS,,,,,anonymous,EN,1,25,1,1,3,2,,3,1,2,1,0,0,1,1,4,0,1,17,19,18,19,18,20,19,18,15,17,17,19,19,15,16,15,434970
2020-11-13 14:47:57,2020-11-13 14:54:32,0,100,395,1,2020-11-13 14:54:32,R_3qxRR7ZZYG7sPJF,,,,,anonymous,EN,1,27,1,1,3,2,,2,3,4,0,0,0,1,1,2,0,1,15,15,20,20,19,18,19,19,15,17,19,20,21,20,20,19,434970
2020-11-13 14:52:45,2020-11-13 14:55:26,0,100,161,1,2020-11-13 14:55:27,R_2z8bKYOxaaSCRE5,,,,,anonymous,EN,1,19,1,1,2,1,,1,0,0,0,0,0,0,0,0,0,1,15,18,20,19,20,16,19,20,15,18,21,21,20,20,21,20,434974
2020-11-13 14:55:34,2020-11-13 14:58:49,0,100,194,1,2020-11-13 14:58:49,R_32JS2S3nB75Xw38,,,,,anonymous,EN,1,19,1,1,3,2,,1,2,1,0,0,0,1,1,0,0,6,15,15,19,15,15,15,15,15,15,15,19,20,20,15,15,15,434978
2020-11-13 14:56:55,2020-11-13 15:00:03,0,100,187,1,2020-11-13 15:00:03,R_2P0PAP3bAHm5Rx5,,,,,anonymous,EN,1,19,1,1,1,2,,2,3,2,0,0,0,0,0,0,0,1,19,15,19,20,19,19,19,19,15,16,20,21,19,16,15,15,434982
2020-11-13 14:54:20,2020-11-13 15:03:15,0,100,535,1,2020-11-13 15:03:16,R_30wuC3Sth7nYL6Q,,,,,anonymous,EN,1,27,1,1,3,2,,2,3,4,0,0,0,1,1,2,0,1,15,15,18,17,17,18,17,20,15,17,20,19,21,19,20,19,434970
2020-11-13 14:54:51,2020-11-13 15:03:26,0,100,514,1,2020-11-13 15:03:26,R_3JE6saYHFEtcncK,,,,,anonymous,EN,1,18,1,1,3,2,,2,0,1,0,0,0,0,0,2,0,1,20,20,21,20,17,15,20,19,16,19,20,18,21,15,17,16,434977
