StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,alc_val_task_debrief_1,alc_val_task_debrief_2,alc_val_task_debrief_3,alc_val_task_debrief_4,alc_val_task_debrief_5,alc_val_task_debrief_6,alc_val_task_debrief_7,alc_val_task_debrief_8,open_debrief,pID,cond
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,To what extent do you agree or disagree with the following statements about your experience with the alcohol task? - The task was easy to understand.,To what extent do you agree or disagree with the following statements about your experience with the alcohol task? - I did not know what I was supposed to do.,To what extent do you agree or disagree with the following statements about your experience with the alcohol task? - The ratings I provided really reflect my preferences and feelings.,To what extent do you agree or disagree with the following statements about your experience with the alcohol task? - I liked this task.,To what extent do you agree or disagree with the following statements about your experience with the alcohol task? - I had trouble focusing.,"To what extent do you agree or disagree with the following statements about your experience with the alcohol task? - I wasn't able to properly engage in the task, because it was too fast.",To what extent do you agree or disagree with the following statements about your experience with the alcohol task? - The speed with which the task moved from screen to screen was good.,To what extent do you agree or disagree with the following statements about your experience with the alcohol task? - The task was interesting.,Is there anything else that you would like to tell us about your experience with the alcohol task?,pID,cond
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID2_7""}","{""ImportId"":""QID2_8""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""pID""}","{""ImportId"":""cond""}"
2020-11-13 15:11:09,2020-11-13 15:12:08,0,100,59,1,2020-11-13 15:12:09,R_3lLkrWv0ov5ayJJ,,,,,anonymous,EN,2,4,3,5,6,5,2,5,,434970,22
2020-11-13 15:13:08,2020-11-13 15:13:42,0,100,33,1,2020-11-13 15:13:42,R_25yVekLOzgtR21X,,,,,anonymous,EN,6,1,6,4,4,5,6,3,,434974,19
2020-11-13 15:12:05,2020-11-13 15:16:55,0,100,290,1,2020-11-13 15:16:55,R_1QmUexbVSrBHvDc,,,,,anonymous,EN,6,1,4,4,2,6,4,7,"Whenever the orange drink popped up I said 1 to everything because I don't like that soda at all. Also, I have never reduced myself to that because as soon as I feel bad I usually stop. I also always want to be in control so that I can help other people if they get too drunk.",434969,31
2020-11-13 15:17:43,2020-11-13 15:18:45,0,100,61,1,2020-11-13 15:18:45,R_1QAbSjVpDa7Tts9,,,,,anonymous,EN,5,1,6,4,3,5,2,3,,434978,9
2020-11-13 15:21:24,2020-11-13 15:22:56,0,100,91,1,2020-11-13 15:22:56,R_sbOzZhgPkboxnz3,,,,,anonymous,EN,7,1,6,3,2,5,3,3,I also think the specific type of alcohol influences the responses,434970,28
2020-11-13 15:22:44,2020-11-13 15:24:31,0,100,107,1,2020-11-13 15:24:31,R_vw1Xv4qLC2OfKdH,,,,,anonymous,EN,3,5,6,4,6,6,3,4,,434977,3
2020-11-13 15:26:24,2020-11-13 15:27:29,0,100,65,1,2020-11-13 15:27:30,R_WeX0eXuVx1s609j,,,,,anonymous,EN,6,2,5,6,2,1,7,5,,434990,18
2020-11-13 15:28:03,2020-11-13 15:29:34,0,100,90,1,2020-11-13 15:29:34,R_1nNjTCcF68DO4no,,,,,anonymous,EN,7,1,6,4,2,1,5,6,,434979,19
2020-11-13 15:27:14,2020-11-13 15:30:41,0,100,207,1,2020-11-13 15:30:41,R_3KUYwpFwlIxqwGM,,,,,anonymous,EN,4,2,6,4,2,3,5,3,,434967,22
2020-11-13 15:30:14,2020-11-13 15:31:47,0,100,92,1,2020-11-13 15:31:47,R_1Fm3dGVF7stPuCM,,,,,anonymous,EN,5,3,7,5,2,4,5,5,It was really interesting,434986,0
2020-11-13 15:34:14,2020-11-13 15:36:18,0,100,124,1,2020-11-13 15:36:19,R_xGaviOuMBVfEJEZ,,,,,anonymous,EN,5,1,6,2,6,2,6,2,Just want you to keep in mind that I am currently hungover so even looking at the alcohol makes me feel sick but I tried my best to respond as if I was not hungover.,434988,5
2020-11-13 15:16:21,2020-11-13 15:41:12,0,100,1490,1,2020-11-13 15:41:12,R_3IYmjrVuMom7c9Z,,,,,anonymous,EN,7,4,3,3,5,5,1,3,,434982,1
2020-11-13 15:46:18,2020-11-13 15:48:35,0,100,137,1,2020-11-13 15:48:35,R_2aqL8D9TlalfiWn,,,,,anonymous,EN,5,3,5,4,4,4,3,4,,434997,26
2020-11-13 15:49:54,2020-11-13 15:51:07,0,100,73,1,2020-11-13 15:51:07,R_uqNF43BWaIP01hv,,,,,anonymous,EN,7,1,7,5,1,2,7,5,I hate tequila so my answers when tequila appeared are more related to my hatred towards it than to the image before.,435005,12
2020-11-13 15:37:24,2020-11-13 16:07:27,0,100,1803,1,2020-11-13 16:07:28,R_3rG0Bj36kphVQJD,,,,,anonymous,EN,7,1,7,4,5,5,6,2,,434985,26
2020-11-13 16:13:31,2020-11-13 16:14:26,0,100,54,1,2020-11-13 16:14:26,R_vMgOb2BRfilG8KJ,,,,,anonymous,EN,7,2,6,5,4,1,6,5,,435021,14
2020-11-13 16:13:38,2020-11-13 16:15:50,0,100,131,1,2020-11-13 16:15:50,R_0V8qNPnsweXmhgd,,,,,anonymous,EN,5,2,6,4,2,4,4,4,,435017,3
2020-11-13 16:20:51,2020-11-13 16:21:21,0,100,30,1,2020-11-13 16:21:21,R_2t5MCNzHoJfhqS8,,,,,anonymous,EN,5,3,5,2,3,3,5,3,x,435025,12
