stim_num,space_press.keys,space_press.rt,wine_beer_choice.keys,wine_beer_choice.rt,spirits_alcopops_choice.keys,spirits_alcopops_choice.rt,nonalc_choice1.keys,nonalc_choice1.rt,nonalc_choice2.keys,nonalc_choice2.rt,scene_choice_2.keys,scene_choice_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,alc_cue,rating.keys,key_resp_8.keys,run1.thisRepN,run1.thisTrialN,run1.thisN,run1.thisIndex,run1.ran,condition,file,orientation,medium,iti,post_stim_fix,run,pID,date,expName,psychopyVersion,OS,frameRate,rating.rt,key_resp_2.keys,key_resp_2.rt,run2.thisRepN,run2.thisTrialN,run2.thisN,run2.thisIndex,run2.ran,type,subtype,val_cond,source_cond,rating.keys_z
18,space,12.694525,2,7.21822,1,2.61398,2,7.216175,1,1.657175,2,6.17176,space,72.971085,space,4.300975,space,6.37819,space,4.04725,space,5.95613,SDC11012,NA,NA,0,0,0,0,1,anti_prof,ap49.png,landscape,website,0.25,0.25,1,435044_study2,2020-11-13_22h51.03.295,alcohol_value_task,2020.1.3,Win32,60,NA,NA,NA,NA,NA,NA,NA,NA,alcohol,alcopops,anti-alcohol,professional,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SDC11012,4,NA,0,1,1,1,1,anti_soc,as56.png,portrait,website,0.5,0.75,1,435044_study2,2020-11-13_22h51.03.295,alcohol_value_task,2020.1.3,Win32,60,0.379495,NA,NA,NA,NA,NA,NA,NA,alcohol,alcopops,anti-alcohol,peer-produced,0.8011006992557882
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SDC11012,3,NA,0,2,2,2,1,pro_soc,ps14.png,portrait,website,0.75,0.5,1,435044_study2,2020-11-13_22h51.03.295,alcohol_value_task,2020.1.3,Win32,60,0.300585,NA,NA,NA,NA,NA,NA,NA,alcohol,alcopops,pro-alcohol,peer-produced,0.10239756578505452
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SDC11012,5,NA,0,3,3,3,1,pro_prof,pp53.png,portrait,website,0.25,0.25,1,435044_study2,2020-11-13_22h51.03.295,alcohol_value_task,2020.1.3,Win32,60,0.327785,NA,NA,NA,NA,NA,NA,NA,alcohol,alcopops,pro-alcohol,professional,1.499803832726522
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SDC11128,4,NA,0,4,4,4,1,pro_soc,ps35.png,portrait,social_media,0.75,0.75,1,435044_study2,2020-11-13_22h51.03.295,alcohol_value_task,2020.1.3,Win32,60,0.349955,NA,NA,NA,NA,NA,NA,NA,alcohol,wine,pro-alcohol,peer-produced,0.8011006992557882
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SDC11128,3,NA,0,5,5,5,1,pro_prof,pp44.png,portrait,website,0.5,1,1,435044_study2,2020-11-13_22h51.03.295,alcohol_value_task,2020.1.3,Win32,60,0.225545,NA,NA,NA,NA,NA,NA,NA,alcohol,wine,pro-alcohol,professional,0.10239756578505452
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SDC11140,4,NA,0,6,6,6,1,pro_soc,ps7.png,landscape,social_media,0.25,0.5,1,435044_study2,2020-11-13_22h51.03.295,alcohol_value_task,2020.1.3,Win32,60,0.38451,NA,NA,NA,NA,NA,NA,NA,alcohol,alcopops,pro-alcohol,peer-produced,0.8011006992557882
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SDC11128,2,NA,0,7,7,7,1,anti_prof,ap23.png,portrait,website,1,1,1,435044_study2,2020-11-13_22h51.03.295,alcohol_value_task,2020.1.3,Win32,60,0.257265,NA,NA,NA,NA,NA,NA,NA,alcohol,wine,anti-alcohol,professional,-0.5963055676856792
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SDC11128,2,NA,0,8,8,8,1,anti_soc,as44.png,portrait,social_media,0.25,0.75,1,435044_study2,2020-11-13_22h51.03.295,alcohol_value_task,2020.1.3,Win32,60,0.23508,NA,NA,NA,NA,NA,NA,NA,alcohol,wine,anti-alcohol,peer-produced,-0.5963055676856792
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SDC10708,4,NA,0,9,9,9,1,pro_soc,ps33.png,landscape,social_media,1,0.75,1,435044_study2,2020-11-13_22h51.03.295,alcohol_value_task,2020.1.3,Win32,60,0.37118,NA,NA,NA,NA,NA,NA,NA,alcohol,wine,pro-alcohol,peer-produced,0.8011006992557882
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SDC11140,2,NA,0,10,10,10,1,anti_prof,ap87.png,landscape,social_media,1,1,1,435044_study2,2020-11-13_22h51.03.295,alcohol_value_task,2020.1.3,Win32,60,0.35536,NA,NA,NA,NA,NA,NA,NA,alcohol,alcopops,anti-alcohol,professional,-0.5963055676856792
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SDC10708,3,NA,0,11,11,11,1,anti_prof,ap34.png,landscape,social_media,0.75,0.5,1,435044_study2,2020-11-13_22h51.03.295,alcohol_value_task,2020.1.3,Win32,60,0.480365,NA,NA,NA,NA,NA,NA,NA,alcohol,wine,anti-alcohol,professional,0.10239756578505452
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SDC11140,4,NA,0,12,12,12,1,pro_prof,pp15.png,portrait,website,1,1,1,435044_study2,2020-11-13_22h51.03.295,alcohol_value_task,2020.1.3,Win32,60,0.56678,NA,NA,NA,NA,NA,NA,NA,alcohol,alcopops,pro-alcohol,professional,0.8011006992557882
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SDC11015,3,NA,0,13,13,13,1,pro_soc,ps29.png,portrait,social_media,0.75,0.25,1,435044_study2,2020-11-13_22h51.03.295,alcohol_value_task,2020.1.3,Win32,60,0.39349,NA,NA,NA,NA,NA,NA,NA,alcohol,alcopops,pro-alcohol,peer-produced,0.10239756578505452
